feature,importance_gain
bwd_packets_s,26788228160645.08
total_length_of_bwd_packets,1103900410039.1719
fwd_iat_mean,190713985035.0172
bwd_packet_length_max,74364364186.1948
flow_iat_std,18218465836.34267
max_packet_length,18199595463.60315
fwd_iat_min,16851365052.578926
init_win_bytes_forward,15180472658.130978
flow_bytes_s,14030823911.202335
bwd_iat_max,13519024228.192299
flow_iat_max,11045338538.158417
bwd_packet_length_std,10020621416.149235
flow_iat_min,9051928109.142841
packet_length_mean,8712104460.357992
flow_packets_s,5652421646.091679
average_packet_size,5529730201.350552
flow_duration,4834108958.046763
init_win_bytes_backward,4469810524.306875
fwd_header_length,3637581462.999931
fwd_iat_std,3089367839.629681
fwd_iat_total,2734434319.309687
bwd_iat_mean,2643924897.004043
fwd_iat_max,2325903228.343276
min_seg_size_forward,1700261869.0284023
bwd_iat_min,1464357640.874992
packet_length_variance,1460540855.488892
packet_length_std,1278571411.8514352
total_length_of_fwd_packets,1234444905.7266731
destination_port,1149411883.4058897
bwd_iat_std,1107338903.0152674
fwd_packet_length_mean,1058857427.7185912
act_data_pkt_fwd,937904674.886264
flow_iat_mean,626080526.3962255
fwd_packets_s,605810316.5890177
fwd_packet_length_std,303083804.6642912
fwd_packet_length_max,286285315.36026675
bwd_header_length,162989549.68891156
active_std,154757701.94524962
urg_flag_count,148846974.36953557
idle_std,127595193.4732373
idle_min,108228801.24332619
active_min,102807253.92874186
bwd_iat_total,100585023.45014066
total_backward_packets,79645549.4911639
active_mean,76121577.90384717
active_max,67466490.94382131
bwd_packet_length_min,58413994.05921845
total_fwd_packets,40722069.98238212
bwd_packet_length_mean,40574011.765272915
fwd_packet_length_min,34846660.42455703
idle_mean,23088019.20095849
psh_flag_count,7383134.334703922
down_up_ratio,7380835.993966103
idle_max,6850043.637878124
min_packet_length,6076027.896957397
ack_flag_count,903065.1166343689
fwd_psh_flags,785247.624111712
fin_flag_count,359362.75939178467
subflow_bwd_packets,141.83099365234375
bwd_urg_flags,0.0
bwd_psh_flags,0.0
fwd_urg_flags,0.0
rst_flag_count,0.0
syn_flag_count,0.0
bwd_avg_bytes_bulk,0.0
bwd_avg_packets_bulk,0.0
bwd_avg_bulk_rate,0.0
fwd_avg_bytes_bulk,0.0
fwd_header_length_dup,0.0
avg_bwd_segment_size,0.0
avg_fwd_segment_size,0.0
ece_flag_count,0.0
cwe_flag_count,0.0
fwd_avg_bulk_rate,0.0
fwd_avg_packets_bulk,0.0
subflow_fwd_bytes,0.0
subflow_bwd_bytes,0.0
subflow_fwd_packets,0.0
